timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538249519874400,0.04357712343335152,-8.495287895202637,1369.9322891235352,1225.5733966827393,1291.5922164916992,1225.5733966827393,25.0,17.0,1,1,0,0
1770538249558021000,0.5302560329437256,-7.267580509185791,1314.7556018829346,1196.681821346283,1291.5922164916992,1225.5733966827393,33.0,31.0,1,1,0,0
1770538249598238100,-0.7560786604881287,-10.202066421508789,1229.2830848693848,1381.1077237129211,1291.5922164916992,1328.129482269287,80.5,42.5,1,1,0,0
1770538249636803000,-1.123341679573059,-10.473963737487793,1100.8845806121826,1357.6302409172058,1291.5922164916992,1225.5733966827393,83.0,46.0,1,1,0,0
1770538249672637400,0.3803187608718872,-9.716031074523926,1272.0429039001465,1443.0756568908691,1291.5922164916992,1328.129482269287,114.0,68.5,1,1,0,0
1770538249710381500,-0.421902596950531,-7.603645324707031,1253.0968952178955,1284.7277998924255,1272.0429039001465,1328.129482269287,107.0,52.5,1,1,0,0
1770538249751155300,-0.7908538579940796,-7.503989219665527,1191.6473579406738,1246.521770954132,1272.0429039001465,1246.521770954132,104.0,51.5,1,1,0,0
1770538249791499200,-1.3089574575424194,-8.770552635192871,1000.8726024627686,1265.5916333198547,1272.0429039001465,1284.7277998924255,111.5,69.0,1,1,0,0
1770538249829763700,-1.0588302612304688,-10.089837074279785,1026.4130687713623,1389.421284198761,1253.0968952178955,1328.129482269287,115.0,60.5,1,1,0,0
1770538249864752600,-0.3582191467285156,-7.611236095428467,1168.7434387207031,1182.2188138961792,1191.6473579406738,1246.521770954132,111.0,58.5,1,1,0,0
1770538249902090700,-0.34928128123283386,-7.5526347160339355,1157.2779178619385,1172.102701663971,1168.7434387207031,1265.5916333198547,111.5,71.0,1,1,0,0
1770538249937055600,-0.30495598912239075,-9.134160041809082,1209.310712814331,1375.0728607177734,1209.310712814331,1328.129482269287,107.0,54.5,1,1,0,0
1770538249973751700,-0.1314612179994583,-8.398083686828613,1191.9236469268799,1274.3284463882446,1191.6473579406738,1265.5916333198547,120.5,69.5,1,1,0,0
1770538250015121100,0.49275168776512146,-8.277909278869629,1246.3196182250977,1244.4456338882446,1191.9236469268799,1265.5916333198547,115.5,70.5,1,1,0,0
